Row Type,Category,Variant,Item #,Text,Options (best -> worst) / URL,Scoring Notes / Source,Calculation
Question,Gear & Tools,Ultramarathon,2,"Have you used your key gear (trekking poles, headlamp, hydration vest, pack, or backpack) extensively before now?","Yes — all of it, on long training days | Most of it | Only briefly, or just one or two items | No — this is new gear I haven't tested","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Ultramarathon,3,Are your shoes or boots broken in and matched to the terrain?,"Yes, well broken in and terrain-appropriate | Broken in, but not ideal for this terrain | Fairly new, limited miles on them | Brand new or untested for this distance/terrain","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Ultramarathon,4,"Do you have backup/contingency gear (spare batteries, extra layers, backup navigation)?","Yes, fully stocked and packed | Some backups packed | Minimal backups | None","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Ultramarathon,5,"If your event involves moving after dark, how comfortable are you on this terrain with a headlamp?","Very comfortable — extensive night training | Comfortable, some night practice | Not tested much | Not tested at all, and it's likely I'll be out after dark | Not applicable — my event won't require moving after dark","5 options, scored 0 (best) to 4 (worst); option 5 (""Not applicable — my event won't require moving after dark"") is Not Applicable and scores as 0 (best), not by position",IF selected = option 5 (N/A): contribution = 0.  ELSE: contribution = selected_index ÷ 3  (selected_index counts from 0)
Question,Gear & Tools,Ultramarathon,6,"If your event spans multiple days or nights, is your shelter and sleep system (tent, bag or quilt, pad) tested and adequate for expected conditions?","Yes, tested in similar conditions | Tested, but not in conditions this extreme | Untested, or borrowed/brand-new gear | No shelter/sleep system sorted yet, and I'll need one | Not applicable — my event is single-day with no overnight stops","5 options, scored 0 (best) to 4 (worst); option 5 (""Not applicable — my event is single-day with no overnight stops"") is Not Applicable and scores as 0 (best), not by position",IF selected = option 5 (N/A): contribution = 0.  ELSE: contribution = selected_index ÷ 3  (selected_index counts from 0)
Question,Gear & Tools,Long-Distance Hike,1,Have you reviewed and packed your event's mandatory or recommended gear list?,"Yes, fully — everything is checked off and tested | Mostly — a couple items still need attention | I've glanced at it but haven't packed | I haven't checked the gear list","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Long-Distance Hike,2,"Have you used your key gear (trekking poles, headlamp, hydration vest, pack, or backpack) extensively before now?","Yes — all of it, on long training days | Most of it | Only briefly, or just one or two items | No — this is new gear I haven't tested","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Long-Distance Hike,3,Are your shoes or boots broken in and matched to the terrain?,"Yes, well broken in and terrain-appropriate | Broken in, but not ideal for this terrain | Fairly new, limited miles on them | Brand new or untested for this distance/terrain","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Long-Distance Hike,4,"Do you have backup/contingency gear (spare batteries, extra layers, backup navigation)?","Yes, fully stocked and packed | Some backups packed | Minimal backups | None","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Long-Distance Hike,5,"If your event involves moving after dark, how comfortable are you on this terrain with a headlamp?","Very comfortable — extensive night training | Comfortable, some night practice | Not tested much | Not tested at all, and it's likely I'll be out after dark | Not applicable — my event won't require moving after dark","5 options, scored 0 (best) to 4 (worst); option 5 (""Not applicable — my event won't require moving after dark"") is Not Applicable and scores as 0 (best), not by position",IF selected = option 5 (N/A): contribution = 0.  ELSE: contribution = selected_index ÷ 3  (selected_index counts from 0)
Question,Gear & Tools,Long-Distance Hike,6,"If your event spans multiple days or nights, is your shelter and sleep system (tent, bag or quilt, pad) tested and adequate for expected conditions?","Yes, tested in similar conditions | Tested, but not in conditions this extreme | Untested, or borrowed/brand-new gear | No shelter/sleep system sorted yet, and I'll need one | Not applicable — my event is single-day with no overnight stops","5 options, scored 0 (best) to 4 (worst); option 5 (""Not applicable — my event is single-day with no overnight stops"") is Not Applicable and scores as 0 (best), not by position",IF selected = option 5 (N/A): contribution = 0.  ELSE: contribution = selected_index ÷ 3  (selected_index counts from 0)
Question,Gear & Tools,Mountaineering,1,"Have you reviewed and packed your objective's required technical gear — harness, rope, protection, ice axe, crampons — matched to the route's actual demands?","Yes, fully — everything is checked, tested, and matched to the route | Mostly — a couple items still need attention | I've glanced at the list but haven't packed | I haven't worked out what technical gear this route requires","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Mountaineering,2,"Are you genuinely competent with your technical gear — ice axe self-arrest, crampon technique, rope systems — not just carrying it?","Yes — practiced and confident with all of it | Comfortable with most of it | Only briefly practiced, or just one or two skills | No — this is gear I haven't practiced with","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Mountaineering,3,"Are your mountaineering boots broken in and properly fitted to your crampons (no heel lift, secure fit)?","Yes, well broken in and crampons fit perfectly | Broken in, but crampon fit hasn't been tested | Fairly new, limited use | Brand new or untested with crampons","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Mountaineering,4,"Do you have backup/contingency gear (headlamp batteries, a repair kit, extra layers) for critical gear failures?","Yes, fully stocked and packed | Some backups packed | Minimal backups | None","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Mountaineering,5,"Is your layering system tested for the actual wind, cold, and precipitation you'll face at this objective's elevation?","Yes, tested in similar conditions | Tested, but not in conditions this extreme | Untested, or borrowed/brand-new gear | Not sorted yet","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Mountaineering,6,"If your route involves glacier travel or crevasse hazard, do you have crevasse rescue gear and know how to use it?","Yes, gear packed and I'm practiced with the systems | Gear packed, but rescue systems are rusty | Gear packed, but I don't really know the systems | No crevasse rescue plan despite the hazard | Not applicable — no glacier travel or crevasse hazard on this route","5 options, scored 0 (best) to 4 (worst); option 5 (""Not applicable — no glacier travel or crevasse hazard on this route"") is Not Applicable and scores as 0 (best), not by position",IF selected = option 5 (N/A): contribution = 0.  ELSE: contribution = selected_index ÷ 3  (selected_index counts from 0)
Question,Gear & Tools,Ski Mountaineering (Skimo),1,"Have you reviewed and packed your race's mandatory or recommended gear list (transceiver, shovel, probe, helmet, etc.)?","Yes, fully — everything is checked off and tested | Mostly — a couple items still need attention | I've glanced at it but haven't packed | I haven't checked the gear list","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Ski Mountaineering (Skimo),2,"Are you genuinely comfortable and practiced on your actual race setup — skis, boots, bindings, skins — not just a general touring setup?","Yes — trained extensively on my actual race gear | Mostly, with a few sessions on race gear | Only briefly tested my race gear | No — planning to use it for the first time on race day","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Ski Mountaineering (Skimo),3,Are your race boots properly fitted for both the uphill (walk mode) and downhill (ski mode) demands?,"Yes, dialed in for both modes | Good in one mode, untested in the other | Fairly new, limited testing | Brand new or untested","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Ski Mountaineering (Skimo),4,"Do you have backup/contingency gear (extra skin glue or straps, a spare pole basket, layers for changing conditions)?","Yes, fully stocked and packed | Some backups packed | Minimal backups | None","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Ski Mountaineering (Skimo),5,Is your layering system tested for the temperature swings between uphill effort and downhill descent?,"Yes, tested and dialed in | Tested, but not across the full range | Untested, or borrowed/brand-new gear | Not sorted yet","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Gear & Tools,Ski Mountaineering (Skimo),6,"Do you know how to use your avalanche safety gear (transceiver, shovel, probe) competently, not just carry it?","Yes — practiced companion rescue scenarios | Comfortable with the basics | Own it, but haven't really practiced | No real competency with this gear","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Nutrition & Hydration,,1,"Have you trained your on-trail fueling plan under conditions similar to what's ahead (heat, altitude, humidity)?","Yes, repeatedly, matching expected conditions | Somewhat, though not in matching conditions | I have a plan but haven't tested it | I don't have a tested fueling plan","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Nutrition & Hydration,,2,Have you established and tested a fueling rate (calories or carbs per hour) for sustained effort?,"Yes, tested and tolerated on long training days | I have a target with limited testing | Rough idea, not really tested | No plan","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Nutrition & Hydration,,3,How dialed in is your hydration and electrolyte strategy for the conditions ahead?,"Well-tested plan, tuned to the environment | General plan — drink to thirst with some electrolyte use | Loose plan, not really tested | No real plan","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Nutrition & Hydration,,4,"Have you had GI issues on past long efforts, and do you have a plan to manage them?","No history of issues, or a well-practiced management plan | Occasional issues, general idea of what to adjust | Frequent issues, no clear plan | Frequent issues and no plan at all","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Nutrition & Hydration,,5,How many of your 'go-to' trail foods have you actually tested on long training days?,3–5+ tested options I know work for me | 1–2 tested options | Untested — planning to rely on aid stations or resupply | Haven't thought about food variety at all,"4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Nutrition & Hydration,,6,"If your event spans multiple days, do you have a resupply or food-carry plan sized for the distance between resupply points?","Yes, calculated and packed/planned | Rough plan, not fully calculated | Vague idea — figuring it out as I go | No plan | Not applicable — single-day event with full support","5 options, scored 0 (best) to 4 (worst); option 5 (""Not applicable — single-day event with full support"") is Not Applicable and scores as 0 (best), not by position",IF selected = option 5 (N/A): contribution = 0.  ELSE: contribution = selected_index ÷ 3  (selected_index counts from 0)
Question,Training & Fitness Readiness,6-12 Weeks Out (Build),1,Where are you in your aerobic base / muscular endurance progression?,"Aerobic base is solid and I've moved into loaded uphill / muscular-endurance-specific work | Still building aerobic base, with some uphill-specific work mixed in | Mostly easy miles — haven't added uphill-specific loading yet | No structured progression — it's the same type of training every week | I don't know — I'm not tracking this","5 options, scored 0 (best) to 4 (worst)","contribution = selected_index ÷ 4  (selected_index counts from 0, so first option = 0, last = 4)"
Question,Training & Fitness Readiness,6-12 Weeks Out (Build),2,How is your weekly vertical gain/loss tracking against what the event demands?,"Tracking it, and on pace to match or exceed race demands by taper | Tracking it, but currently behind where I'd like to be | Not tracking vertical specifically, just time or distance | No elevation-specific training at all","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,6-12 Weeks Out (Build),3,Have you built a general strength foundation before adding heavier loaded uphill work?,"Yes, general strength is in place and I'm progressing into loaded/uphill-specific work | Some strength work, but inconsistent | Just started, or planning to start soon | No strength training in my plan","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,6-12 Weeks Out (Build),4,How are your longest efforts progressing toward race-specific time-on-feet and terrain?,"Building steadily — recent long efforts are approaching race-like duration/terrain | Progressing, but a step behind schedule | Long efforts have stalled or plateaued | Haven't started building toward race-specific long efforts yet","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,6-12 Weeks Out (Build),5,"How are you monitoring fatigue and recovery as training load increases (resting heart rate, subjective feedback, sleep)?","Actively monitoring and adjusting training based on it | Paying loose attention, no formal tracking | Not really monitoring, just pushing through the plan | No monitoring, and I've noticed signs of accumulating fatigue","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,6-12 Weeks Out (Build),6,Any injury or illness in the past 4–6 weeks that's disrupted training?,"None | Minor, fully resolved | Recent, mostly recovered but not 100% | Current, unresolved injury or illness","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,3 Weeks Out (Taper),1,"Looking back at your training block, how well did your volume/mileage buildup match what's ahead?","Well-matched, gradual build with adequate long efforts | Mostly matched, with a few gaps | Undertrained relative to the distance | Significantly undertrained","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,3 Weeks Out (Taper),2,Any injury or illness in the past 4–6 weeks?,"None | Minor, fully resolved | Recent, mostly recovered but not 100% | Current, unresolved injury or illness","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,3 Weeks Out (Taper),3,Did your long days or back-to-back efforts get you close to the time-on-feet you'll need?,"Yes, multiple sessions at or near the expected duration | Some, but shorter than what's ahead | Limited | None","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,3 Weeks Out (Taper),4,Did your climbing/descending training match the route's elevation demands?,"Yes, closely matched | Somewhat matched | Limited elevation-specific training | Little to none, for a mountainous route","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,3 Weeks Out (Taper),5,"Are you executing your taper right now — reducing volume while keeping some intensity, not just stopping?","Yes — deliberate taper, reduced volume, maintained some intensity | Reducing volume, but I've also basically stopped everything | Haven't really started tapering yet | Still at full training volume with under 3 weeks to go","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,3 Weeks Out (Taper),6,Are you resisting the urge to add a 'confidence-boosting' hard effort or big vert day in these final weeks?,"Yes — nothing new or hard planned before the event | Mostly, though I have one moderate effort planned | I have a big/hard session planned in the next week or two | I've already done a big hard effort very recently, close to the event","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first ultra"" checked",1,How long have you been running consistently before considering this?,More than a year of consistent training | 6 months to a year | Less than 6 months | Just starting out,"4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first ultra"" checked",2,"Can your training availability support the minimum weekly volume your target distance needs during peak training weeks — 6 hours/week for a 50K or 50-miler, or 9 hours/week for a 100K or 100-miler?","Yes — I can realistically hit that during peak training weeks | Close, but I'd need to make some real adjustments to get there | Not currently — my available time falls well short of that | I haven't worked out what my target distance actually requires","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first ultra"" checked",3,"Have you progressed through shorter distances first — 10K, half marathon, marathon — before aiming for your first ultra?","Yes, I've built up through those distances | I've done a half marathon or marathon, but that's it | I've only done shorter races (5K/10K) | This would be my first real race of any distance",INFORMATIONAL ONLY — shown to athlete/coach but does not factor into the risk score,EXCLUDED — not included in the category average at all
Question,Training & Fitness Readiness,"ADDED if ""first ultra"" checked",4,"Are you currently free of chronic or nagging injuries, and have you been building volume gradually rather than jumping straight to ultra-level training?","Yes — healthy, and I've increased volume gradually | One minor niggle I'm managing, nothing serious | A recurring issue that flares up under higher volume | An active injury, or I've been ramping volume up fast","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first ultra"" checked",5,"Do you realistically have the time this will take — several hours a week, growing as training builds — without it colliding with work, family, or other major commitments?","Yes, I've thought this through and the time is there | Mostly, though it'll be tight some weeks | Not really — I haven't figured out where this fits | Haven't thought about the time commitment at all","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first ultra"" checked",6,"Do you have a support system in place — training partners, family, friends, or a coach who get what you're taking on?","Yes — real support from people who understand this | Some support, but I'm mostly on my own | My circle doesn't really get it yet | Haven't thought about this","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first ultra"" checked",7,"Do you understand that walking — especially uphill — is a normal, smart part of ultra racing, not a sign of failure?","Yes, and I already practice a run/walk strategy in training | I understand it intellectually but haven't practiced it | Not really — I assume I should be running the whole way | Never thought about it","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first ultra"" checked",8,"Do you have a specific race that genuinely speaks to you — one you're all in on, not just ""an ultra"" in the abstract?","Yes — I have a specific race I'm fully committed to | I have one in mind, but not fully committed yet | I know I want to do an ultra, but haven't picked one | Nothing specific in mind yet","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first ultra"" checked",9,How consistent has your weekly running actually been?,"Very consistent — 4+ days most weeks, minimal gaps | Fairly consistent — 3–4 days most weeks, some gaps | Inconsistent — sporadic, stop-and-start | Just getting started / not yet running regularly","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first hike"" checked",1,"Have you built up gradually — day hikes, then overnight trips — before attempting this, or is this jumping straight to multi-day?","Yes, I've progressively built up through day hikes and overnight trips | I've done a few overnights, but not a lot | I've only day-hiked, never spent a night on trail | This would be my first time hiking overnight at all","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first hike"" checked",2,Have you trained hiking with a fully loaded pack — matching your actual trip weight — not just an empty or lightly-loaded one?,"Yes, multiple training hikes at or near my actual trip weight | A few training hikes, but lighter than my real pack will be | Only hiked with a light daypack, never near full weight | Haven't trained with a loaded pack at all","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first hike"" checked",3,"Have you hiked multiple consecutive days in a row before, to know how your body holds up on day 2, 3, or beyond?","Yes, several consecutive-day trips under my belt | One or two back-to-back days, nothing longer | Only single-day efforts, never back-to-back | No consecutive-day experience at all","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first hike"" checked",4,Is your planned route matched to your experience — not requiring complex navigation or extreme remoteness for a first attempt?,"Yes, I chose a well-established, appropriately-scoped route | Mostly, though it has some remote or technical sections | It's fairly remote or complex for a first attempt | Haven't thought about how the route matches my experience","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first hike"" checked",5,"Have you planned and budgeted for the full trip — resupply costs, lodging or permits, gear, and an emergency buffer?","Yes, fully planned and budgeted | Mostly planned, a few gaps left | Only loosely thought about it | Haven't planned or budgeted at all","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first hike"" checked",6,"Do you have a support system in place — someone managing resupply boxes, checking in on your progress, or a hiking partner?","Yes — real support from people who understand this | Some support, but I'm mostly on my own | My circle doesn't really get it yet | Haven't thought about this","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first hike"" checked",7,"Do you have a specific trail or route that genuinely speaks to you — one you're all in on, not just ""a long hike"" in the abstract?","Yes — I have a specific trail I'm fully committed to | I have one in mind, but not fully committed yet | I know I want to do a long hike, but haven't picked one | Nothing specific in mind yet","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first hike"" checked",8,"Have you been actively researching and planning — route, gear, resupply points — rather than just deciding you want to do this?","Yes, deep into route/gear/resupply research already | Some research done, more to go | Only surface-level research so far | Haven't really started researching yet","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first mountaineering"" checked",1,"Have you built a solid aerobic base first — mostly easy, sustainable effort — before adding intensity or objective-specific training?","Yes, aerobic base first, then added specificity | Mostly, though I've mixed in intensity earlier than ideal | Not really — I've gone mostly straight to hard training | No structured base-building at all","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first mountaineering"" checked",2,"Has your training followed a gradual, continuous progression, rather than big jumps in volume or intensity that risk injury or overtraining?","Yes, steady and gradual throughout | Mostly gradual, with a couple of bigger jumps | Several big jumps in volume or intensity | No real structure — sporadic and inconsistent","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
Question,Training & Fitness Readiness,"ADDED if ""first mountaineering"" checked",3,Have you trained functional strength and muscular endurance specific to your objective — carrying a loaded pack for hours — not just general gym strength?,"Yes, loaded-pack specific training built in | Some, but mostly generic gym strength work | Little to none, mostly just cardio | Haven't trained strength specifically at all","4 options, scored 0 (best) to 3 (worst)","contribution = selected_index ÷ 3  (selected_index counts from 0, so first option = 0, last = 3)"
